Date,Time,Location/Area,Accident Type,Severity,Vehicle Type
2025-03-27,16:42:00,Industrial,Single Vehicle,Moderate,Car
2025-03-27,06:32:00,East,Hit-and-run,Minor,Car
2025-03-27,16:52:00,Suburban,Collision,Moderate,Car
2025-03-27,19:30:00,West,Hit-and-run,Moderate,Auto
2025-03-28,08:34:00,Highway,Rear-end,Moderate,Motorcycle
2025-03-28,16:16:00,Central,Rear-end,Minor,Truck
2025-03-28,19:27:00,South,Hit-and-run,Moderate,Car
2025-03-28,21:18:00,South,Rear-end,Severe,Motorcycle
2025-03-28,21:45:00,West,Pedestrian,Moderate,Auto
2025-03-28,07:53:00,Highway,Hit-and-run,Minor,Car
2025-03-28,16:22:00,Central,Rear-end,Moderate,Car
2025-03-28,06:31:00,Central,Collision,Minor,Motorcycle
2025-03-28,00:39:00,Highway,Pedestrian,Severe,Truck
2025-03-28,12:12:00,North,Single Vehicle,Moderate,Motorcycle
2025-03-28,22:58:00,Industrial,Collision,Minor,Motorcycle
2025-03-28,18:19:00,West,Rear-end,Minor,Truck
2025-03-28,23:34:00,Highway,Collision,Minor,Car
2025-03-28,18:04:00,Central,Pedestrian,Severe,Bus
2025-03-29,16:08:00,Central,Hit-and-run,Minor,Car
2025-03-29,12:28:00,West,Collision,Minor,Car
2025-03-29,15:05:00,Suburban,Single Vehicle,Severe,Truck
2025-03-29,07:24:00,South,Collision,Minor,Auto
2025-03-29,18:30:00,South,Pedestrian,Minor,Bus
2025-03-29,17:21:00,West,Rear-end,Moderate,Truck
2025-03-29,00:01:00,Suburban,Collision,Minor,Car
2025-03-29,13:44:00,Highway,Collision,Minor,Car
2025-03-29,18:04:00,Suburban,Collision,Minor,Car
2025-03-29,14:59:00,Central,Hit-and-run,Moderate,Auto
2025-03-29,17:26:00,Central,Rear-end,Severe,Auto
2025-03-29,01:24:00,West,Collision,Minor,Bicycle
2025-03-29,21:07:00,Highway,Collision,Minor,Car
2025-03-29,16:54:00,North,Collision,Minor,Motorcycle
2025-03-30,17:00:00,North,Pedestrian,Severe,Truck
2025-03-30,05:19:00,Highway,Hit-and-run,Minor,Truck
2025-03-30,18:43:00,Central,Collision,Severe,Truck
2025-03-30,03:22:00,South,Rear-end,Minor,Bus
2025-03-30,00:31:00,East,Collision,Severe,Car
2025-03-30,07:10:00,West,Single Vehicle,Moderate,Car
2025-03-30,22:38:00,Unknown,Single Vehicle,Moderate,Car
2025-03-30,06:46:00,South,Hit-and-run,Minor,Car
2025-03-30,02:53:00,West,Single Vehicle,Moderate,Car
2025-03-30,09:23:00,West,Pedestrian,Minor,Car
2025-03-30,09:10:00,West,Pedestrian,Minor,Car
2025-03-30,18:28:00,West,Rear-end,Minor,Truck
2025-03-30,13:53:00,North,Collision,Severe,Auto
2025-03-30,01:25:00,Central,Collision,Moderate,Auto
2025-03-30,00:15:00,Central,Collision,Moderate,Car
2025-03-31,22:34:00,North,Hit-and-run,Moderate,Car
2025-03-31,22:19:00,East,Collision,Minor,Car
2025-03-31,17:45:00,Highway,Collision,Severe,Bicycle
2025-03-31,06:02:00,Industrial,Rear-end,Moderate,Motorcycle
2025-03-31,07:00:00,Highway,Collision,Moderate,Car
2025-03-31,00:57:00,South,Rear-end,Minor,Auto
2025-03-31,22:52:00,South,Single Vehicle,Fatal,Car
2025-03-31,02:46:00,South,Pedestrian,Severe,Auto
2025-03-31,23:00:00,North,Hit-and-run,Moderate,Car
2025-03-31,22:16:00,Central,Rear-end,Minor,Car
2025-03-31,07:01:00,West,Rear-end,Moderate,Motorcycle
2025-03-31,21:28:00,Suburban,Collision,Moderate,Auto
2025-03-31,14:19:00,Central,Single Vehicle,Minor,Auto
2025-03-31,04:05:00,Central,Collision,Minor,Motorcycle
2025-04-01,02:07:00,Highway,Collision,Minor,Car
2025-04-01,18:28:00,North,Pedestrian,Moderate,Car
2025-04-01,00:47:00,Highway,Collision,Minor,Bicycle
2025-04-01,14:50:00,Industrial,Collision,Minor,Motorcycle
2025-04-01,07:32:00,Suburban,Collision,Moderate,Bus
2025-04-01,01:02:00,South,Collision,Moderate,Motorcycle
2025-04-01,02:59:00,Industrial,Collision,Minor,Motorcycle
2025-04-01,23:34:00,East,Collision,Minor,Motorcycle
2025-04-01,13:04:00,West,Hit-and-run,Severe,Truck
2025-04-01,23:26:00,East,Pedestrian,Moderate,Auto
2025-04-01,13:43:00,North,Collision,Minor,Motorcycle
2025-04-01,10:11:00,East,Single Vehicle,Severe,Motorcycle
2025-04-01,15:19:00,East,Collision,Minor,Car
2025-04-01,03:44:00,Highway,Collision,Fatal,Car
2025-04-02,19:19:00,Industrial,Collision,Minor,Auto
2025-04-02,04:08:00,Industrial,Hit-and-run,Minor,Car
2025-04-02,21:38:00,Central,Rear-end,Minor,Bus
2025-04-02,20:03:00,Industrial,Rear-end,Minor,Truck
2025-04-02,13:50:00,East,Pedestrian,Moderate,Bus
2025-04-02,22:53:00,Highway,Rear-end,Severe,Auto
2025-04-02,15:18:00,Suburban,Hit-and-run,Severe,Truck
2025-04-02,17:37:00,Central,Single Vehicle,Minor,Auto
2025-04-02,06:26:00,Highway,Collision,Minor,Car
2025-04-02,09:44:00,Central,Collision,Minor,Truck
2025-04-02,06:42:00,South,Hit-and-run,Minor,Bus
2025-04-02,00:12:00,West,Rear-end,Moderate,Car
2025-04-02,22:12:00,Central,Collision,Minor,Bus
2025-04-02,20:59:00,Industrial,Collision,Moderate,Bus
2025-04-02,18:56:00,Central,Rear-end,Moderate,Auto
2025-04-03,15:21:00,Central,Rear-end,Minor,Car
2025-04-03,18:27:00,West,Collision,Moderate,Truck
2025-04-03,03:51:00,Industrial,Single Vehicle,Minor,Car
2025-04-03,17:46:00,Suburban,Pedestrian,Minor,Truck
2025-04-03,01:52:00,Industrial,Rear-end,Severe,Motorcycle
2025-04-03,00:44:00,Industrial,Hit-and-run,Minor,Motorcycle
2025-04-03,14:21:00,South,Single Vehicle,Minor,Car
2025-04-03,04:42:00,Central,Collision,Moderate,Car
2025-04-03,19:18:00,Central,Collision,Minor,Car
2025-04-03,10:07:00,East,Rear-end,Moderate,Car
2025-04-03,09:51:00,Industrial,Pedestrian,Minor,Motorcycle
2025-04-03,01:07:00,South,Collision,Minor,Auto
2025-04-03,02:41:00,Industrial,Single Vehicle,Severe,Car
2025-04-03,22:25:00,East,Rear-end,Moderate,Car
2025-04-04,22:47:00,Central,Collision,Minor,Motorcycle
2025-04-04,11:50:00,North,Collision,Minor,Truck
2025-04-04,19:25:00,Highway,Collision,Severe,Car
2025-04-04,04:22:00,Industrial,Pedestrian,Minor,Car
2025-04-04,04:42:00,Highway,Single Vehicle,Moderate,Car
2025-04-04,05:12:00,Central,Rear-end,Moderate,Car
2025-04-04,08:27:00,Suburban,Single Vehicle,Moderate,Car
2025-04-04,01:08:00,North,Pedestrian,Moderate,Car
2025-04-04,20:19:00,Central,Rear-end,Moderate,Truck
2025-04-04,11:55:00,Suburban,Hit-and-run,Moderate,Motorcycle
2025-04-04,02:18:00,North,Rear-end,Severe,Car
2025-04-04,19:47:00,Industrial,Rear-end,Moderate,Truck
2025-04-04,21:38:00,Central,Collision,Minor,Motorcycle
2025-04-04,11:50:00,West,Hit-and-run,Minor,Auto
2025-04-05,23:11:00,Highway,Collision,Moderate,Car
2025-04-05,16:14:00,South,Pedestrian,Severe,Truck
2025-04-05,09:30:00,Industrial,Pedestrian,Minor,Truck
2025-04-05,23:54:00,North,Collision,Minor,Car
2025-04-05,13:13:00,West,Collision,Severe,Auto
2025-04-05,22:10:00,South,Rear-end,Moderate,Motorcycle
2025-04-05,16:25:00,North,Rear-end,Minor,Truck
2025-04-05,17:41:00,South,Collision,Moderate,Car
2025-04-05,18:26:00,Central,Rear-end,Fatal,Car
2025-04-05,16:10:00,Highway,Collision,Severe,Motorcycle
2025-04-05,13:37:00,South,Collision,Moderate,Car
2025-04-05,08:33:00,North,Collision,Minor,Motorcycle
2025-04-05,07:42:00,East,Collision,Severe,Car
2025-04-05,01:18:00,South,Pedestrian,Moderate,Truck
2025-04-06,12:05:00,Industrial,Single Vehicle,Severe,Motorcycle
2025-04-06,06:45:00,Suburban,Rear-end,Minor,Car
2025-04-06,08:51:00,East,Rear-end,Minor,Truck
2025-04-06,21:37:00,Highway,Collision,Minor,Motorcycle
2025-04-06,21:48:00,West,Rear-end,Minor,Car
2025-04-06,10:41:00,Central,Collision,Moderate,Car
2025-04-06,13:27:00,Industrial,Rear-end,Fatal,Car
2025-04-06,03:00:00,East,Single Vehicle,Moderate,Car
2025-04-06,12:34:00,West,Collision,Severe,Auto
2025-04-06,01:39:00,Highway,Pedestrian,Minor,Motorcycle
2025-04-06,22:07:00,East,Collision,Moderate,Car
2025-04-06,04:58:00,Highway,Collision,Severe,Car
2025-04-06,10:51:00,Industrial,Collision,Moderate,Car
2025-04-06,05:53:00,East,Collision,Moderate,Motorcycle
2025-04-06,17:46:00,West,Collision,Moderate,Car
2025-04-07,20:55:00,South,Collision,Moderate,Motorcycle
2025-04-07,09:06:00,Suburban,Rear-end,Minor,Car
2025-04-07,03:10:00,Industrial,Collision,Severe,Bus
2025-04-07,08:38:00,Central,Hit-and-run,Fatal,Car
2025-04-07,05:03:00,South,Single Vehicle,Minor,Motorcycle
2025-04-07,01:24:00,West,Rear-end,Moderate,Truck
2025-04-07,16:11:00,Central,Collision,Moderate,Motorcycle
2025-04-07,04:25:00,Central,Collision,Moderate,Bus
2025-04-07,05:37:00,East,Single Vehicle,Moderate,Truck
2025-04-07,11:45:00,South,Rear-end,Severe,Car
2025-04-07,22:11:00,East,Rear-end,Minor,Motorcycle
2025-04-07,20:42:00,North,Collision,Minor,Bicycle
2025-04-07,09:50:00,Central,Rear-end,Severe,Truck
2025-04-07,21:52:00,Industrial,Collision,Moderate,Auto
2025-04-08,20:36:00,East,Single Vehicle,Severe,Car
2025-04-08,05:45:00,North,Single Vehicle,Minor,Motorcycle
2025-04-08,07:52:00,South,Collision,Minor,Auto
2025-04-08,01:23:00,West,Rear-end,Severe,Car
2025-04-08,11:15:00,Central,Collision,Minor,Bicycle
2025-04-08,12:56:00,Central,Rear-end,Severe,Car
2025-04-08,20:12:00,Central,Single Vehicle,Severe,Auto
2025-04-08,06:24:00,Highway,Rear-end,Moderate,Motorcycle
2025-04-08,09:53:00,Industrial,Collision,Minor,Car
2025-04-08,12:53:00,Industrial,Collision,Moderate,Auto
2025-04-08,16:56:00,Industrial,Pedestrian,Severe,Car
2025-04-08,20:51:00,Industrial,Hit-and-run,Minor,Car
2025-04-08,13:53:00,East,Rear-end,Minor,Car
2025-04-08,01:03:00,West,Collision,Minor,Truck
2025-04-09,21:10:00,Central,Collision,Minor,Bicycle
2025-04-09,10:31:00,West,Single Vehicle,Severe,Car
2025-04-09,00:48:00,Highway,Rear-end,Severe,Motorcycle
2025-04-09,18:06:00,East,Rear-end,Fatal,Car
2025-04-09,20:45:00,South,Rear-end,Moderate,Bus
2025-04-09,03:57:00,North,Pedestrian,Moderate,Car
2025-04-09,18:10:00,West,Collision,Minor,Car
2025-04-09,20:27:00,Industrial,Collision,Moderate,Car
2025-04-09,10:53:00,Unknown,Rear-end,Moderate,Motorcycle
2025-04-09,07:40:00,South,Hit-and-run,Severe,Auto
2025-04-09,10:22:00,Highway,Hit-and-run,Severe,Motorcycle
2025-04-09,03:44:00,West,Single Vehicle,Severe,Car
2025-04-09,16:22:00,Highway,Collision,Severe,Motorcycle
2025-04-09,06:49:00,East,Collision,Severe,Bus
2025-04-09,07:27:00,East,Single Vehicle,Minor,Car
2025-04-10,02:42:00,West,Rear-end,Severe,Car
2025-04-10,21:46:00,Industrial,Hit-and-run,Moderate,Car
2025-04-10,01:56:00,Suburban,Hit-and-run,Minor,Bus
2025-04-10,22:25:00,Central,Rear-end,Minor,Motorcycle
2025-04-10,14:24:00,Central,Collision,Moderate,Motorcycle
2025-04-10,23:53:00,Suburban,Pedestrian,Minor,Car
2025-04-10,21:28:00,East,Pedestrian,Minor,Car
2025-04-10,21:18:00,West,Rear-end,Moderate,Bicycle
2025-04-10,04:32:00,East,Rear-end,Severe,Car
2025-04-10,23:35:00,Central,Collision,Severe,Auto
2025-04-10,00:13:00,Highway,Collision,Minor,Motorcycle
2025-04-10,03:13:00,Industrial,Collision,Minor,Car
2025-04-10,14:34:00,South,Collision,Minor,Motorcycle
2025-04-10,19:29:00,South,Single Vehicle,Minor,Auto
2025-04-11,18:27:00,Highway,Pedestrian,Minor,Car
2025-04-11,02:16:00,Central,Hit-and-run,Fatal,Auto
2025-04-11,19:02:00,Highway,Rear-end,Moderate,Car
2025-04-11,10:15:00,North,Collision,Minor,Motorcycle
2025-04-11,16:45:00,West,Single Vehicle,Minor,Auto
2025-04-11,12:29:00,Suburban,Collision,Moderate,Auto
2025-04-11,10:51:00,Industrial,Collision,Moderate,Motorcycle
2025-04-11,01:28:00,South,Rear-end,Minor,Truck
2025-04-11,08:44:00,Industrial,Single Vehicle,Fatal,Car
2025-04-11,01:14:00,South,Single Vehicle,Minor,Car
2025-04-11,20:45:00,North,Collision,Minor,Car
2025-04-11,08:55:00,Suburban,Single Vehicle,Minor,Car
2025-04-11,08:24:00,Industrial,Collision,Moderate,Car
2025-04-11,07:50:00,West,Collision,Minor,Car
2025-04-12,16:37:00,South,Single Vehicle,Minor,Bicycle
2025-04-12,00:41:00,Central,Single Vehicle,Minor,Truck
2025-04-12,10:58:00,Central,Rear-end,Moderate,Motorcycle
2025-04-12,07:46:00,West,Rear-end,Minor,Bicycle
2025-04-12,09:52:00,Highway,Pedestrian,Minor,Car
2025-04-12,06:53:00,East,Pedestrian,Minor,Motorcycle
2025-04-12,02:51:00,Highway,Single Vehicle,Minor,Truck
2025-04-12,02:57:00,Central,Rear-end,Moderate,Car
2025-04-12,17:37:00,South,Single Vehicle,Minor,Truck
2025-04-12,04:22:00,North,Single Vehicle,Minor,Car
2025-04-12,11:24:00,East,Collision,Moderate,Car
2025-04-12,11:41:00,Central,Single Vehicle,Minor,Car
2025-04-12,18:06:00,Suburban,Rear-end,Minor,Auto
2025-04-12,05:21:00,North,Rear-end,Minor,Truck
2025-04-13,01:16:00,Suburban,Rear-end,Severe,Truck
2025-04-13,11:17:00,East,Collision,Moderate,Motorcycle
2025-04-13,18:48:00,Suburban,Rear-end,Severe,Car
2025-04-13,04:40:00,West,Single Vehicle,Severe,Truck
2025-04-13,11:09:00,Suburban,Collision,Fatal,Car
2025-04-13,16:09:00,Central,Rear-end,Moderate,Car
2025-04-13,16:56:00,Industrial,Single Vehicle,Moderate,Truck
2025-04-13,09:06:00,Highway,Rear-end,Minor,Car
2025-04-13,22:47:00,Central,Collision,Minor,Car
2025-04-13,16:49:00,Central,Rear-end,Moderate,Bus
2025-04-13,14:37:00,East,Rear-end,Fatal,Truck
2025-04-13,11:26:00,Suburban,Hit-and-run,Minor,Truck
2025-04-13,15:51:00,West,Pedestrian,Moderate,Car
2025-04-13,23:32:00,East,Rear-end,Moderate,Car
2025-04-13,18:00:00,Central,Pedestrian,Minor,Truck
2025-04-14,07:43:00,Central,Rear-end,Minor,Bus
2025-04-14,20:52:00,Highway,Collision,Moderate,Motorcycle
2025-04-14,16:59:00,Central,Hit-and-run,Minor,Bicycle
2025-04-14,22:33:00,West,Hit-and-run,Moderate,Bicycle
2025-04-14,04:03:00,Suburban,Rear-end,Severe,Car
2025-04-14,21:16:00,North,Collision,Severe,Auto
2025-04-14,15:03:00,Industrial,Collision,Minor,Motorcycle
2025-04-14,05:42:00,Central,Collision,Severe,Motorcycle
2025-04-14,07:53:00,West,Collision,Minor,Car
2025-04-14,17:25:00,Central,Hit-and-run,Minor,Motorcycle
2025-04-14,11:03:00,Industrial,Collision,Moderate,Auto
2025-04-14,14:00:00,South,Pedestrian,Minor,Bus
2025-04-14,08:06:00,East,Collision,Minor,Bus
2025-04-14,12:29:00,West,Collision,Minor,Car
2025-04-15,14:49:00,Central,Rear-end,Moderate,Car
2025-04-15,09:08:00,Industrial,Collision,Minor,Car
2025-04-15,15:34:00,South,Single Vehicle,Moderate,Car
2025-04-15,06:07:00,Industrial,Collision,Moderate,Motorcycle
2025-04-15,16:23:00,Central,Rear-end,Moderate,Car
2025-04-15,22:18:00,Industrial,Single Vehicle,Severe,Motorcycle
2025-04-15,20:35:00,Central,Rear-end,Minor,Motorcycle
2025-04-15,21:49:00,East,Collision,Minor,Car
2025-04-15,06:51:00,North,Rear-end,Minor,Car
2025-04-15,13:58:00,Industrial,Hit-and-run,Minor,Auto
2025-04-15,14:42:00,North,Single Vehicle,Moderate,Car
2025-04-15,20:26:00,Highway,Single Vehicle,Minor,Car
2025-04-15,06:31:00,Highway,Collision,Minor,Auto
2025-04-15,08:13:00,North,Single Vehicle,Moderate,Bicycle
2025-04-16,18:56:00,West,Collision,Moderate,Truck
2025-04-16,15:17:00,Central,Collision,Moderate,Car
2025-04-16,07:27:00,South,Pedestrian,Severe,Car
2025-04-16,17:59:00,Industrial,Collision,Moderate,Bicycle
2025-04-16,22:28:00,West,Collision,Moderate,Bus
2025-04-16,17:15:00,West,Collision,Minor,Motorcycle
2025-04-16,19:34:00,North,Rear-end,Fatal,Car
2025-04-16,06:46:00,South,Hit-and-run,Moderate,Car
2025-04-16,02:58:00,Central,Hit-and-run,Minor,Car
2025-04-16,17:58:00,Industrial,Collision,Minor,Motorcycle
2025-04-16,09:30:00,East,Rear-end,Moderate,Car
2025-04-16,06:03:00,Industrial,Single Vehicle,Severe,Bicycle
2025-04-16,16:36:00,North,Pedestrian,Minor,Car
2025-04-16,13:16:00,South,Collision,Minor,Truck
2025-04-17,23:38:00,South,Single Vehicle,Severe,Car
2025-04-17,02:47:00,Central,Hit-and-run,Severe,Motorcycle
2025-04-17,11:45:00,South,Collision,Minor,Car
2025-04-17,12:25:00,Highway,Collision,Minor,Bus
2025-04-17,01:47:00,Highway,Collision,Moderate,Motorcycle
2025-04-17,02:38:00,East,Hit-and-run,Minor,Car
2025-04-17,04:40:00,East,Collision,Severe,Auto
2025-04-17,10:03:00,Central,Rear-end,Minor,Motorcycle
2025-04-17,07:29:00,Highway,Collision,Minor,Auto
2025-04-17,22:29:00,Central,Single Vehicle,Minor,Auto
2025-04-17,22:21:00,Suburban,Collision,Minor,Auto
2025-04-17,11:10:00,East,Single Vehicle,Minor,Car
2025-04-17,06:01:00,South,Single Vehicle,Minor,Car
2025-04-17,14:43:00,Suburban,Collision,Moderate,Bicycle
2025-04-17,23:11:00,Central,Rear-end,Minor,Motorcycle
2025-04-18,16:29:00,West,Collision,Severe,Car
2025-04-18,03:35:00,West,Single Vehicle,Minor,Bus
2025-04-18,21:17:00,North,Rear-end,Moderate,Car
2025-04-18,12:25:00,East,Collision,Minor,Truck
2025-04-18,17:52:00,West,Collision,Minor,Auto
2025-04-18,00:06:00,Industrial,Rear-end,Moderate,Bus
2025-04-18,15:00:00,Central,Single Vehicle,Moderate,Car
2025-04-18,12:57:00,Suburban,Hit-and-run,Moderate,Car
2025-04-18,09:25:00,Central,Single Vehicle,Moderate,Car
2025-04-18,11:22:00,North,Collision,Moderate,Motorcycle
2025-04-18,01:25:00,North,Collision,Minor,Car
2025-04-18,22:44:00,Central,Single Vehicle,Severe,Motorcycle
2025-04-18,02:05:00,Central,Collision,Moderate,Motorcycle
2025-04-18,09:05:00,Suburban,Single Vehicle,Fatal,Motorcycle
2025-04-19,01:43:00,South,Collision,Severe,Bus
2025-04-19,22:07:00,Central,Collision,Minor,Motorcycle
2025-04-19,12:23:00,Central,Hit-and-run,Minor,Car
2025-04-19,12:21:00,Industrial,Single Vehicle,Moderate,Truck
2025-04-19,17:18:00,Highway,Single Vehicle,Moderate,Bus
2025-04-19,02:36:00,North,Collision,Moderate,Car
2025-04-19,06:17:00,Central,Collision,Moderate,Truck
2025-04-19,13:30:00,North,Rear-end,Minor,Car
2025-04-19,19:36:00,Central,Hit-and-run,Minor,Car
2025-04-19,16:29:00,Central,Hit-and-run,Minor,Auto
2025-04-19,20:56:00,East,Collision,Moderate,Auto
2025-04-19,11:41:00,North,Single Vehicle,Moderate,Motorcycle
2025-04-19,15:32:00,East,Hit-and-run,Minor,Truck
2025-04-19,23:09:00,North,Single Vehicle,Moderate,Auto
2025-04-20,11:36:00,Suburban,Rear-end,Minor,Bicycle
2025-04-20,14:11:00,Highway,Rear-end,Minor,Motorcycle
2025-04-20,09:53:00,West,Single Vehicle,Moderate,Motorcycle
2025-04-20,06:29:00,South,Rear-end,Minor,Car
2025-04-20,19:26:00,South,Single Vehicle,Moderate,Car
2025-04-20,04:38:00,South,Single Vehicle,Severe,Motorcycle
2025-04-20,00:08:00,Industrial,Hit-and-run,Severe,Bus
2025-04-20,16:53:00,East,Rear-end,Minor,Bus
2025-04-20,02:20:00,Highway,Collision,Moderate,Auto
2025-04-20,12:11:00,Suburban,Collision,Moderate,Car
2025-04-20,13:54:00,South,Collision,Moderate,Motorcycle
2025-04-20,23:28:00,West,Collision,Moderate,Car
2025-04-20,17:32:00,Central,Collision,Minor,Car
2025-04-20,03:42:00,North,Collision,Minor,Auto
2025-04-20,17:52:00,South,Collision,Moderate,Motorcycle
2025-04-21,04:14:00,North,Rear-end,Moderate,Bus
2025-04-21,15:01:00,Highway,Collision,Minor,Car
2025-04-21,00:51:00,Central,Collision,Minor,Car
2025-04-21,20:38:00,East,Hit-and-run,Moderate,Truck
2025-04-21,13:52:00,West,Rear-end,Minor,Car
2025-04-21,14:43:00,Industrial,Rear-end,Minor,Car
2025-04-21,08:53:00,South,Hit-and-run,Minor,Car
2025-04-21,14:17:00,Highway,Pedestrian,Minor,Truck
2025-04-21,16:02:00,West,Rear-end,Moderate,Bicycle
2025-04-21,23:06:00,East,Hit-and-run,Minor,Auto
2025-04-21,03:42:00,Central,Single Vehicle,Minor,Bicycle
2025-04-21,11:17:00,East,Pedestrian,Minor,Auto
2025-04-21,04:43:00,Highway,Rear-end,Minor,Auto
2025-04-21,04:37:00,West,Hit-and-run,Moderate,Motorcycle
2025-04-22,10:36:00,Highway,Collision,Minor,Motorcycle
2025-04-22,05:57:00,East,Rear-end,Moderate,Car
2025-04-22,06:32:00,Central,Single Vehicle,Minor,Bus
2025-04-22,23:43:00,Central,Rear-end,Minor,Car
2025-04-22,13:58:00,South,Single Vehicle,Minor,Car
2025-04-22,23:30:00,Industrial,Rear-end,Minor,Auto
2025-04-22,10:57:00,Highway,Single Vehicle,Moderate,Car
2025-04-22,12:10:00,South,Rear-end,Minor,Bicycle
2025-04-22,01:03:00,East,Collision,Severe,Truck
2025-04-22,06:58:00,East,Rear-end,Minor,Car
2025-04-22,19:17:00,South,Collision,Minor,Truck
2025-04-22,03:03:00,North,Collision,Minor,Bus
2025-04-22,07:48:00,Central,Pedestrian,Moderate,Car
2025-04-22,19:33:00,North,Collision,Minor,Bus
2025-04-23,21:28:00,Central,Pedestrian,Minor,Bus
2025-04-23,20:23:00,North,Collision,Minor,Car
2025-04-23,18:21:00,Central,Collision,Minor,Car
2025-04-23,12:01:00,West,Single Vehicle,Severe,Car
2025-04-23,13:43:00,South,Collision,Moderate,Car
2025-04-23,09:05:00,Suburban,Rear-end,Moderate,Car
2025-04-23,10:41:00,North,Rear-end,Moderate,Truck
2025-04-23,01:24:00,South,Rear-end,Moderate,Car
2025-04-23,08:54:00,South,Single Vehicle,Minor,Auto
2025-04-23,16:56:00,Central,Hit-and-run,Moderate,Car
2025-04-23,02:20:00,Highway,Rear-end,Minor,Motorcycle
2025-04-23,23:54:00,Central,Single Vehicle,Minor,Truck
2025-04-23,05:58:00,Suburban,Collision,Moderate,Auto
2025-04-23,04:15:00,Highway,Rear-end,Moderate,Motorcycle
2025-04-24,04:30:00,East,Single Vehicle,Moderate,Car
2025-04-24,21:13:00,West,Hit-and-run,Moderate,Auto
2025-04-24,14:38:00,West,Pedestrian,Minor,Car
2025-04-24,22:27:00,South,Hit-and-run,Minor,Car
2025-04-24,16:31:00,West,Pedestrian,Minor,Motorcycle
2025-04-24,08:27:00,Unknown,Single Vehicle,Moderate,Bus
2025-04-24,02:50:00,Central,Collision,Fatal,Car
2025-04-24,19:54:00,East,Collision,Minor,Motorcycle
2025-04-24,16:48:00,West,Rear-end,Minor,Motorcycle
2025-04-24,09:08:00,Highway,Hit-and-run,Minor,Auto
2025-04-24,02:57:00,Central,Collision,Severe,Car
2025-04-24,17:44:00,Highway,Collision,Moderate,Car
2025-04-24,17:21:00,North,Collision,Minor,Motorcycle
2025-04-24,16:31:00,South,Single Vehicle,Fatal,Car
2025-04-24,23:04:00,South,Hit-and-run,Severe,Truck
2025-04-25,02:22:00,South,Rear-end,Minor,Truck
2025-04-25,02:04:00,Central,Collision,Severe,Bus
2025-04-25,05:41:00,East,Collision,Minor,Auto
2025-04-25,12:52:00,Highway,Collision,Minor,Auto
2025-04-25,23:31:00,East,Collision,Minor,Motorcycle
2025-04-25,14:58:00,East,Single Vehicle,Severe,Bicycle
2025-04-25,08:09:00,Highway,Single Vehicle,Moderate,Car
2025-04-25,03:58:00,Industrial,Collision,Minor,Truck
2025-04-25,13:38:00,East,Collision,Fatal,Motorcycle
2025-04-25,04:57:00,North,Collision,Minor,Bus
2025-04-25,01:14:00,Highway,Rear-end,Moderate,Motorcycle
2025-04-25,10:06:00,West,Collision,Moderate,Bus
2025-04-25,08:28:00,North,Collision,Minor,Auto
2025-04-25,23:58:00,North,Collision,Minor,Truck
2025-04-26,02:46:00,Highway,Pedestrian,Severe,Bus
2025-04-26,08:02:00,Central,Hit-and-run,Minor,Car
2025-04-26,02:18:00,Suburban,Hit-and-run,Moderate,Car
2025-04-26,01:09:00,Central,Rear-end,Moderate,Bicycle
2025-04-26,11:27:00,Highway,Single Vehicle,Moderate,Truck
2025-04-26,09:28:00,South,Single Vehicle,Minor,Motorcycle
2025-04-26,08:14:00,East,Collision,Minor,Car
2025-04-26,14:34:00,Highway,Collision,Minor,Car
2025-04-26,07:05:00,South,Rear-end,Severe,Car
2025-04-26,04:11:00,East,Collision,Minor,Motorcycle
2025-04-26,10:46:00,Central,Rear-end,Minor,Car
2025-04-26,01:37:00,Central,Rear-end,Severe,Car
2025-04-26,23:12:00,North,Rear-end,Severe,Motorcycle
2025-04-26,14:28:00,Industrial,Collision,Minor,Motorcycle
2025-04-27,05:18:00,Central,Rear-end,Fatal,Car
2025-04-27,07:02:00,Central,Single Vehicle,Moderate,Motorcycle
2025-04-27,04:07:00,South,Collision,Minor,Auto
2025-04-27,15:07:00,West,Hit-and-run,Minor,Motorcycle
2025-04-27,17:54:00,Industrial,Collision,Moderate,Auto
2025-04-27,05:57:00,Central,Collision,Moderate,Auto
2025-04-27,04:19:00,Central,Rear-end,Minor,Car
2025-04-27,15:46:00,Suburban,Collision,Minor,Car
2025-04-27,12:03:00,North,Collision,Minor,Motorcycle
2025-04-27,04:50:00,Highway,Collision,Moderate,Motorcycle
2025-04-27,12:20:00,Highway,Rear-end,Minor,Motorcycle
2025-04-27,16:02:00,Highway,Hit-and-run,Minor,Car
2025-04-27,17:44:00,Central,Collision,Moderate,Truck
2025-04-27,07:07:00,Highway,Hit-and-run,Moderate,Car
2025-04-27,12:22:00,Highway,Collision,Moderate,Bicycle
2025-04-28,18:15:00,West,Rear-end,Minor,Car
2025-04-28,02:12:00,South,Rear-end,Minor,Auto
2025-04-28,23:02:00,North,Hit-and-run,Minor,Car
2025-04-28,07:47:00,Central,Single Vehicle,Fatal,Car
2025-04-28,01:08:00,East,Single Vehicle,Moderate,Car
2025-04-28,07:59:00,West,Collision,Minor,Bicycle
2025-04-28,12:13:00,South,Single Vehicle,Minor,Car
2025-04-28,12:12:00,East,Collision,Moderate,Truck
2025-04-28,00:52:00,South,Single Vehicle,Moderate,Auto
2025-04-28,05:56:00,West,Collision,Minor,Truck
